subj_orgid,session_id,block_num,probe_number,bv_std_10s,apen_10s,n_taps_10s,subject_id,fixation_count_10s,fixation_dur_mean_10s,fixation_dur_std_10s,fixation_dur_sum_10s,fixation_x_mean_10s,fixation_x_std_10s,fixation_y_mean_10s,fixation_y_std_10s,saccade_count_10s,saccade_dur_mean_10s,saccade_dur_std_10s,saccade_distance_norm_mean_10s,saccade_velocity_norm_mean_10s,blink_count_10s,blink_dur_mean_10s,blink_dur_sum_10s,pupil_std_10s,pupil_mean_10s,on_off
CLONESA_G1_sub_37,ses_2,4.0,7,0.0664743205797098,0.9724216005853692,94,sub_17_ses_2_8_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,44.09150208872453,-1.2269923618050336,ON
CLONESA_G1_sub_37,ses_2,4.0,8,0.0529623725712716,0.9843797215117164,107,sub_17_ses_2_8_cleaned_data_raw.fif,1,3.290008544921875,,3.290008544921875,0.4964149377942689,,0.5060624072027544,,1,0.1300048828125,,0.00126046282544,0.0096955037239481,1,0.06500244140625,0.06500244140625,53.34520108837805,-1.3210340962055211,ON
CLONESA_G1_sub_37,ses_2,4.0,9,0.0590888015168427,0.9349252893490756,92,sub_17_ses_2_8_cleaned_data_raw.fif,1,9.90203857421875,,9.90203857421875,0.4960003591725433,,0.5097312699397947,,1,0.156005859375,,0.0040099852631059,0.0257040682905824,1,0.0980224609375,0.0980224609375,74.40486959133554,-1.4012102920838634,ON
CLONESA_G1_sub_37,ses_2,4.0,10,0.0472047926353199,0.8470109415543976,91,sub_17_ses_2_8_cleaned_data_raw.fif,1,5.07098388671875,,5.07098388671875,0.4972357996365951,,0.5071747743675149,,1,0.1600341796875,,0.0014840899083956,0.0092735808768707,1,0.0989990234375,0.0989990234375,68.98328152189426,-1.22030345053778,ON
CLONESA_G1_sub_37,ses_2,4.0,11,0.0691699797366998,0.8077090079801859,93,sub_17_ses_2_8_cleaned_data_raw.fif,1,5.51702880859375,,5.51702880859375,0.5003069033332506,,0.5136693281811217,,1,0.14398193359375,,0.0026110976597665,0.0181348978624906,1,0.08404541015625,0.08404541015625,44.09970436421017,-1.216772900239092,OFF
CLONESA_G1_sub_37,ses_2,4.0,12,0.0457412809789162,0.9489340228734866,101,sub_17_ses_2_8_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,33.00707741526808,-1.222151118262243,OFF
CLONESA_G1_sub_37,ses_2,4.0,13,0.0784489829766826,0.9210190680813346,94,sub_17_ses_2_8_cleaned_data_raw.fif,1,10.1710205078125,,10.1710205078125,0.4988890147078679,,0.5125257881536356,,1,0.15899658203125,,0.0020001025946288,0.0125795320193472,1,0.1099853515625,0.1099853515625,82.58535934130646,-1.1260352788299242,ON
CLONESA_G1_sub_37,ses_2,4.0,14,0.0547670482263733,0.9982768073690956,101,sub_17_ses_2_8_cleaned_data_raw.fif,1,2.62298583984375,,2.62298583984375,0.5010910591428959,,0.5118506799451368,,0,,,,,0,,0.0,32.58094548010386,-1.1552893222377905,ON
CLONESA_G1_sub_37,ses_2,4.0,15,0.0618030335292634,0.8221477418500553,67,sub_17_ses_2_8_cleaned_data_raw.fif,2,2.607513427734375,2.030126701674439,5.21502685546875,0.4981414765370906,0.0038968627047296,0.5133871626576529,0.0005183704218462,1,0.115966796875,,0.0009583763905306,0.0082642309381341,1,0.06298828125,0.06298828125,52.28505032458539,-1.1500163238961418,ON
CLONESA_G1_sub_37,ses_2,4.0,16,0.0682955155879772,0.927281558497206,53,sub_17_ses_2_8_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,39.08144275420241,-1.3991249315812948,ON
CLONESA_G1_sub_37,ses_2,4.0,17,0.0355522740296866,0.7829783741804177,53,sub_17_ses_2_8_cleaned_data_raw.fif,1,9.9310302734375,,9.9310302734375,0.4985532800070472,,0.5101800456755484,,0,,,,,0,,0.0,74.51744676725042,-1.3039866108126472,ON
CLONESA_G1_sub_37,ses_2,4.0,18,0.0679978896322131,0.8377890101922225,55,sub_17_ses_2_8_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,57.49371873300596,-1.096127659323494,ON
CLONESA_G1_sub_37,ses_2,4.0,19,0.0522881790349336,0.8508259336847592,52,sub_17_ses_2_8_cleaned_data_raw.fif,2,2.79852294921875,3.717230655737142,5.5970458984375,0.511075850778902,0.0071272699560383,0.5144913637143562,0.0015875902526326,0,,,,,0,,0.0,28.90017762419463,-1.3611745194370262,OFF
CLONESA_G1_sub_37,ses_2,4.0,20,0.0844527466160413,0.8104639144206898,47,sub_17_ses_2_8_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,24.492198609149,-1.1855512361405305,OFF
CLONESA_G1_sub_38,ses_1,1.0,1,0.04992416764845,0.858208103811843,96,sub_18_ses_1_2_cleaned_data_raw.fif,1,3.6240005493164062,,3.6240005493164062,0.5046182624156902,,0.5187239109934736,,1,0.1529998779296875,,0.0028020709148822,0.0183142035980576,1,0.0760002136230468,0.0760002136230468,123.48693189177284,-0.7062338531282057,OFF
CLONESA_G1_sub_38,ses_1,1.0,2,0.0386187298673941,0.9694565514983688,96,sub_18_ses_1_2_cleaned_data_raw.fif,2,3.1865005493164062,0.5168970423325185,6.3730010986328125,0.4990516799981621,0.000682365433109,0.5173359500374017,0.0012021445076397,2,0.2744979858398437,0.1180813081864254,0.008814319844478,0.0312031052849984,1,0.128997802734375,0.128997802734375,93.15223996606076,-0.8327158776500423,ON
CLONESA_G1_sub_38,ses_1,1.0,3,0.0454064212598178,0.9388502924154944,100,sub_18_ses_1_2_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,67.16059245046533,-1.0671807385076095,ON
CLONESA_G1_sub_38,ses_1,1.0,4,0.0419542343196104,1.075724420209427,100,sub_18_ses_1_2_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,63.58195673608984,-0.9573327821444744,ON
CLONESA_G1_sub_38,ses_1,1.0,5,0.0540179453587157,0.9332956164642634,95,sub_18_ses_1_2_cleaned_data_raw.fif,0,,,0.0,,,,,0,,,,,0,,0.0,40.36495450805686,-1.3257019549125666,ON
CLONESA_G1_sub_38,ses_1,1.0,6,0.0466026296541524,0.9496765439826884,79,sub_18_ses_1_2_cleaned_data_raw.fif,3,3.1179911295572915,2.9445073636656547,9.353973388671877,0.4775623502973647,0.0061681304867763,0.5200010572373914,0.014549602580706,3,0.281005859375,0.2650185861035815,0.0118498721900677,0.143110810632272,2,0.3430023193359375,0.686004638671875,95.46905664456716,-1.3713344155342324,ON
CLONESA_G1_sub_38,ses_1,1.0,7,0.0484849799213633,0.9759194483161449,108,sub_18_ses_1_2_cleaned_data_raw.fif,1,4.42303466796875,,4.42303466796875,0.4867170636051408,,0.5150950015219581,,1,0.31903076171875,,0.009064315533777,0.0284120424154205,1,0.25897216796875,0.25897216796875,77.88095861570558,-1.043839674448897,ON
CLONESA_G1_sub_38,ses_1,1.0,8,0.0453940018989103,1.0012148689764926,98,sub_18_ses_1_2_cleaned_data_raw.fif,4,2.543731689453125,3.412464872837052,10.1749267578125,0.5100595589444791,0.0006501881811641,0.5186004236078967,0.0018823333181341,0,,,,,1,0.08001708984375,0.08001708984375,91.95853162319374,-0.6210540007044741,ON
CLONESA_G1_sub_38,ses_1,1.0,9,0.0418679405548952,0.9749993035911748,104,sub_18_ses_1_2_cleaned_data_raw.fif,6,0.655670166015625,0.5299847384242699,3.93402099609375,0.4976982218319721,0.0151728728634515,0.5199534224956349,0.003688629860822,5,0.1778076171875,0.1228985982952893,0.0114477263027094,0.2633868710339622,4,0.146514892578125,0.5860595703125,109.66556259178932,-0.8955609242502958,ON
CLONESA_G1_sub_38,ses_1,1.0,10,0.0587210758008431,0.9149694795529152,91,sub_18_ses_1_2_cleaned_data_raw.fif,1,3.17303466796875,,3.17303466796875,0.4877159155515129,,0.5131624915443181,,0,,,,,0,,0.0,69.1036520619388,-0.9647433081985712,ON
